property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type
flat,sushant lok 1 builder floors,sushant lok phase 1,2.5,12920.0,3,3,2,2  ,new Property,215.0,1600.0,1254.0,0,0,0,0,0,2
flat,umang monsoon breeze,sector 78,0.9,4615.0,3,3,2,1  ,moderately old,1950.0,1900.0,1854.0,0,1,0,1,0,2
flat,gls avenue 51,sector 92,0.42,7106.0,2,2,1,4  ,relativelt new,1895.9498700623699,1600.0,591.0,1,0,0,1,0,0
flat,signature global solera,sector 107,0.5,7692.0,2,2,1,11  ,relativelt new,546.0,1600.0,1254.0,0,0,0,0,0,2
flat,supertech araville,sector 79,0.9,5883.0,2,2,3,5  ,relativelt new,1530.0,1450.0,1400.0,1,0,0,0,0,2
flat,greenopolis,sector 89,1.3,6806.0,3,3,3,1  ,new Property,1895.9498700623699,1600.0,1910.0,0,1,0,0,0,2
flat,central park flower valley aqua front towers,sector-33 sohna,1.7,9502.0,3,3,3,12  ,under construction,1789.0,1600.0,1254.0,0,0,0,0,0,2
flat,sare homes,sector 92,1.25,6200.0,4,3,No,16  ,under construction,1895.9498700623699,2040.0,1254.0,0,0,0,0,0,2
flat,vatika sovereign next sector-82 a gurgaon,sector 82a,2.91,6700.0,4,4,3,6  ,under construction,4350.0,1600.0,3480.0,1,1,1,0,0,0
flat,bhagwati sadan,sector 12a,1.15,5750.0,3,4,2,2  ,old property,2500.0,2000.0,1750.0,1,1,0,0,1,0
flat,smart world gems,sector 89,1.2,12526.0,3,3,3,3  ,under construction,1895.9498700623699,1600.0,958.0,0,0,1,1,0,2
flat,micasa sec 68,sohna road,1.5,12244.0,2,2,3,11  ,new Property,1895.9498700623699,1600.0,1225.0,0,0,0,0,0,2
flat,eldeco accolade,sohna,1.3,7424.0,3,3,3,10  ,relativelt new,1751.0,1600.0,1290.0,0,0,0,0,0,2
flat,hero homes,sector 104,1.75,10361.0,3,3,3,2  ,under construction,1689.0,1600.0,1254.0,0,0,0,0,0,2
